timestamp,visitors,originals,followers,following
2025-06-18 18:55:37,Error,Error,Error,Error
2025-06-18 18:55:38,Error,Error,Error,Error
2025-06-18 18:55:39,Error,Error,Error,Error
2025-06-18 18:55:40,Error,Error,Error,Error
2025-06-18 18:55:41,Error,Error,Error,Error
2025-06-18 18:55:42,Error,Error,Error,Error
2025-06-18 18:55:43,Error,Error,Error,Error
2025-06-18 18:55:44,Error,Error,Error,Error
2025-06-18 19:05:54,Error,Error,Error,Error
2025-06-18 19:05:55,Error,Error,Error,Error
2025-06-18 19:05:56,Error,Error,Error,Error
2025-06-18 19:05:57,Error,Error,Error,Error
2025-06-18 19:06:18,0,0,0,0
2025-06-18 19:06:19,0,0,0,0
2025-06-18 19:06:21,0,0,0,0
2025-06-18 19:06:22,0,0,0,0
2025-06-18 19:06:23,0,0,0,0
2025-06-18 19:06:25,0,0,0,0
2025-06-18 19:06:26,0,0,0,0
2025-06-18 19:06:27,0,0,0,0
2025-06-18 19:06:29,0,0,0,0
2025-06-18 19:06:30,0,0,0,0
2025-06-18 19:06:31,0,0,0,0
2025-06-18 19:06:32,0,0,0,0
2025-06-18 19:06:34,0,0,0,0
2025-06-18 19:06:35,0,0,0,0
2025-06-18 19:06:37,0,0,0,0
2025-06-18 19:06:38,0,0,0,0
2025-06-18 19:06:39,0,0,0,0
2025-06-18 19:06:41,0,0,0,0
2025-06-18 19:06:42,0,0,0,0
2025-06-18 19:06:43,0,0,0,0
2025-06-18 19:06:45,0,0,0,0
2025-06-18 19:06:46,0,0,0,0
2025-06-18 19:06:47,0,0,0,0
2025-06-18 19:06:49,0,0,0,0
2025-06-18 19:06:50,0,0,0,0
2025-06-18 19:08:03,36888,22,171,154
2025-06-18 19:08:04,36888,22,171,154
2025-06-18 19:08:05,36888,22,171,154
2025-06-18 19:08:07,36888,22,171,154
2025-06-18 19:08:08,36888,22,171,154
2025-06-18 19:08:09,36888,22,171,154
2025-06-18 19:08:11,36888,22,171,154
2025-06-18 19:14:44,Error,Error,Error,Error,Error
2025-06-18 19:14:45,Error,Error,Error,Error,Error
2025-06-18 19:14:47,Error,Error,Error,Error,Error
2025-06-18 19:14:48,Error,Error,Error,Error,Error
2025-06-18 19:14:49,Error,Error,Error,Error,Error
2025-06-18 19:17:00,Error,Error,Error,Error,Error
2025-06-18 19:17:01,Error,Error,Error,Error,Error
2025-06-18 19:17:02,Error,Error,Error,Error,Error
2025-06-18 19:18:36,0,0,171,154,940
2025-06-18 19:18:37,0,0,171,154,940
2025-06-18 19:18:38,0,0,171,154,940
2025-06-18 19:18:40,0,0,171,154,940
2025-06-18 19:18:41,0,0,171,154,940
2025-06-18 19:18:42,0,0,171,154,940
2025-06-18 19:18:43,0,0,171,154,940
2025-06-18 19:18:44,0,0,171,154,940
2025-06-18 19:18:45,0,0,171,154,940
2025-06-18 19:18:46,0,0,171,154,940
2025-06-18 19:18:47,0,0,171,154,940
2025-06-18 19:18:49,0,0,171,154,940
2025-06-18 19:18:50,0,0,171,154,940
2025-06-18 19:18:51,0,0,171,154,940
2025-06-18 19:18:52,0,0,171,154,940
2025-06-18 19:18:53,0,0,171,154,940
2025-06-18 19:18:54,0,0,171,154,940
2025-06-18 19:18:55,0,0,171,154,940
2025-06-18 19:18:57,0,0,171,154,940
2025-06-18 19:18:58,0,0,171,154,940
2025-06-18 19:18:59,0,0,171,154,940
2025-06-18 19:19:00,0,0,171,154,940
2025-06-18 19:19:01,0,0,171,154,940
2025-06-18 19:19:02,0,0,171,154,940
2025-06-18 19:19:03,0,0,171,154,940
2025-06-18 19:19:04,0,0,171,154,940
2025-06-18 19:19:06,0,0,171,154,940
2025-06-18 19:19:07,0,0,171,154,940
2025-06-18 19:19:08,0,0,171,154,940
2025-06-18 19:19:09,0,0,171,154,940
2025-06-18 19:21:26,CSDN,36889,22,171,154,0
2025-06-18 19:21:26,今日头条,0,0,171,154,940
2025-06-18 19:21:32,CSDN,36889,22,171,154,0
2025-06-18 19:21:32,今日头条,0,0,171,154,940
2025-06-18 19:25:00,CSDN,36889,22,171,154,0
2025-06-18 19:25:00,今日头条,0,0,15,9,154
2025-06-18 19:25:05,CSDN,36889,22,171,154,0
2025-06-18 19:25:05,今日头条,0,0,15,9,154
2025-06-18 19:30:19,CSDN,36889,22,171,154,0
2025-06-18 19:30:19,今日头条,N/A,N/A,0,0,0
2025-06-18 19:30:24,CSDN,36889,22,171,154,0
2025-06-18 19:30:24,今日头条,N/A,N/A,0,0,0
2025-06-18 19:34:34,CSDN,36889,22,171,154,0
2025-06-18 19:34:34,今日头条,N/A,N/A,15,9,154
2025-06-18 19:34:39,CSDN,36889,22,171,154,0
2025-06-18 19:34:39,今日头条,N/A,N/A,15,9,154
2025-06-18 19:36:53,CSDN,36889,22,171,154,0
2025-06-18 19:36:53,今日头条,N/A,N/A,15,9,154
2025-06-18 19:36:59,CSDN,0,0,171,0,0
2025-06-18 19:37:00,今日头条,N/A,N/A,15,9,154
2025-06-18 19:37:05,CSDN,36889,22,171,154,0
2025-06-18 19:37:05,今日头条,N/A,N/A,15,9,154
2025-06-18 19:44:40,CSDN,36889,22,171,154,0
2025-06-18 19:44:40,今日头条,N/A,N/A,15,9,154
2025-06-18 20:07:12,CSDN,36890,22,171,154,0
2025-06-18 20:07:12,今日头条,N/A,N/A,15,9,154
2025-06-18 20:07:30,CSDN,36890,22,171,154,0
2025-06-18 20:07:48,CSDN,36890,22,171,154,0
2025-06-18 20:07:48,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 20:19:11,CSDN,36893,22,171,154,0
2025-06-18 20:19:11,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:18:15,CSDN,37104,22,171,154,0
2025-06-18 21:18:15,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:19:44,CSDN,37104,22,171,154,0
2025-06-18 21:19:52,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:19:58,CSDN,37104,22,171,154,0
2025-06-18 21:19:59,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:24:59,CSDN,37185,22,171,154,0
2025-06-18 21:25:04,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:25:10,CSDN,37185,22,171,154,0
2025-06-18 21:25:15,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:25:21,CSDN,37185,22,171,154,0
2025-06-18 21:25:24,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:25:29,CSDN,37185,22,171,154,0
2025-06-18 21:25:33,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:25:38,CSDN,37185,22,171,154,0
2025-06-18 21:25:50,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:25:55,CSDN,37185,22,171,154,0
2025-06-18 21:25:58,今日头条,N/A,N/A,Error,Error,Error
2025-06-18 21:26:04,CSDN,37185,22,171,154,0
